player_name,headshots
austin-reaves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png
brandon-clarke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629634.png
david-roddy,https://cdn.nba.com/headshots/nba/latest/260x190/1631223.png
deaaron-fox,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png
deandre-hunter,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629631.png
brandon-ingram,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png
deanthony-melton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629001.png
demar-derozan,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201942.png
deni-avdija,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630166.png
dennis-schroder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203471.png
deandre-ayton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png
derrick-jones-jr.,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627884.png
derrick-rose,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201565.png
derrick-white,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png
desmond-bane,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630217.png
vasilije-micic,https://cdn.nba.com/headshots/nba/latest/260x190/203995.png
boban-marjanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626246.png
devin-booker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png
domantas-sabonis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627734.png
donovan-mitchell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628378.png
donte-divincenzo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628978.png
dorian-finney-smith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627827.png
draymond-green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png
drew-eubanks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629234.png
duncan-robinson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629130.png
dwight-powell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203939.png
dyson-daniels,https://cdn.nba.com/headshots/nba/latest/260x190/1630700.png
e.j.-liddell,https://cdn.nba.com/headshots/nba/latest/260x190/1630604.png
eric-gordon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201569.png
brook-lopez,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201572.png
evan-fournier,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png
evan-mobley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630596.png
frank-ntilikina,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628373.png
franz-wagner,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630532.png
fred-vanvleet,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627832.png
damian-jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627745.png
furkan-korkmaz,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627788.png
gabe-vincent,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629216.png
garrett-temple,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202066.png
garrison-mathews,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629726.png
gary-harris,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203914.png
andre-drummond,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png
bruno-fernando,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628981.png
gary-payton-ii,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627780.png
gary-trent-jr.,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629107.png
giannis-antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png
bruce-brown,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png
goga-bitadze,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629048.png
gordon-hayward,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202330.png
grant-williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png
